Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Spencer Hawes,54,337,191,81,15,30,25,49,0,0,3,0,497.0,9.2
Bobby Portis,64,437,296,35,16,11,32,37,0,0,5,0,587.5,9.18
Lance Stephenson,18,122,52,59,5,3,6,26,0,0,0,0,165.0,9.17
Willie Reed,71,374,332,26,18,47,1,31,0,0,4,0,648.5,9.13
David West,68,316,203,151,42,48,3,78,0,0,0,0,615.5,9.05
Ed Davis,46,200,244,26,15,22,0,37,0,0,3,0,410.0,8.91
Justin Anderson,75,532,245,66,41,23,58,66,0,0,0,0,668.0,8.91
Langston Galloway,74,585,156,93,46,6,120,46,0,0,0,0,659.5,8.91
Glenn Robinson III,69,419,246,47,41,20,49,37,0,0,3,0,615.0,8.91
Terry Rozier,74,410,227,131,45,11,57,47,0,0,1,0,657.5,8.89
Alexis Ajinca,39,207,177,12,20,22,0,31,0,0,1,0,346.5,8.88
Andrew Harrison,72,425,136,198,53,21,43,85,0,0,0,0,631.0,8.76
Delon Wright,27,150,48,57,27,11,10,25,0,0,0,0,236.0,8.74
Kelly Oubre Jr.,79,501,261,47,58,17,54,50,0,0,1,0,686.5,8.69
Norman Powell,76,636,169,82,52,14,56,70,0,0,0,0,659.0,8.67
Darrell Arthur,41,262,112,42,19,21,53,36,0,0,0,0,355.5,8.67
Doug McDermott,66,592,179,58,13,5,77,38,0,0,1,0,570.5,8.64
Noah Vonleh,74,327,387,31,30,27,7,64,0,0,4,0,639.0,8.64
Josh McRoberts,22,107,74,50,10,4,13,23,0,0,0,0,189.0,8.59
Domantas Sabonis,81,479,288,82,39,32,51,83,0,0,2,0,696.0,8.59
Brandan Wright,28,189,78,15,11,20,0,10,0,0,0,0,239.5,8.55
Shabazz Muhammad,78,772,220,35,22,6,49,56,0,0,1,0,666.5,8.54
Cristiano Felicio,66,316,311,40,25,17,0,33,0,0,3,0,563.0,8.53
Devin Harris,65,437,127,136,43,7,58,57,0,0,0,0,553.5,8.52
Toney Douglas,24,117,61,56,18,5,7,21,0,0,0,0,204.0,8.5
Georgios Papagiannis,22,124,86,20,3,17,0,24,0,0,2,0,186.0,8.45
D.J. Augustin,78,616,117,209,31,1,95,90,0,0,0,0,655.5,8.4
Jerami Grant,80,437,205,46,33,79,43,44,0,0,0,0,671.0,8.39
Kris Dunn,78,293,166,188,78,36,21,89,0,0,1,0,651.0,8.35
Jason Smith,74,420,258,37,21,54,37,58,0,0,0,0,615.5,8.32
Thomas Robinson,48,241,223,31,26,9,0,46,0,0,1,0,399.5,8.32
David Nwaba,20,120,63,14,13,7,1,11,0,0,0,0,166.5,8.32
Chandler Parsons,34,210,84,55,20,5,25,24,0,0,0,0,282.5,8.31
Arron Afflalo,61,515,125,78,21,6,62,42,0,0,0,0,503.5,8.25
Trey Lyles,71,440,235,69,26,20,65,64,0,0,1,0,585.5,8.25
Luc Mbah a Moute,80,484,170,39,81,35,43,46,0,0,0,0,658.5,8.23
JaVale McGee,77,472,244,17,19,67,0,40,0,0,0,0,629.0,8.17
